Label,Test,Pred,Prob,Class
SLC2A8,1,1,0.575399234,CR
RBBP4,0,1,0.574924912,NotCR
RRAGC,0,1,0.574703164,NotCR
SLC2A12,1,1,0.574215693,CR
UCP2,0,1,0.573808563,NotCR
TSC2,1,1,0.5737033,CR
ATP6V0A1,0,1,0.573484221,NotCR
SOD1,1,1,0.572930265,CR
ATP6V0A2,0,1,0.572777231,NotCR
ALG10B,0,1,0.57163441,NotCR
CHD5,0,1,0.571574078,NotCR
MDH1,0,1,0.571420183,NotCR
SLC2A3,1,1,0.571333283,CR
SLC2A2,1,1,0.570575854,CR
ATP6V1H,0,1,0.570457536,NotCR
CLN3,0,1,0.570340406,NotCR
TAT,0,1,0.56781851,NotCR
SLC2A5,1,1,0.567474302,CR
RBBP7,0,1,0.567404093,NotCR
GAPDHS,1,1,0.566430498,CR
SLC2A9,1,1,0.565155173,CR
NNT,0,1,0.564200423,NotCR
MTHFD2L,0,1,0.564069285,NotCR
FXN,0,1,0.563924094,NotCR
AKR1A1,0,1,0.563809066,NotCR
TDO2,0,1,0.563562219,NotCR
SLC2A7,1,1,0.563477116,CR
RRAGB,1,1,0.563372064,CR
CBS,1,1,0.562578147,CR
P4HB,0,1,0.562480063,NotCR
SOD2,1,1,0.5620758,CR
ATP6V0D2,1,1,0.560929897,CR
WIPI1,0,1,0.560702051,NotCR
IMPACT,0,1,0.560097778,NotCR
SLC2A6,1,1,0.559724415,CR
RAB7A,1,1,0.558865565,CR
ATP6V1B2,1,1,0.557062675,CR
APOE,0,1,0.556882114,NotCR
OGDH,0,1,0.556389193,NotCR
TUSC3,0,1,0.555899221,NotCR
SHMT2,0,1,0.555365888,NotCR
GOLPH3,0,1,0.554462561,NotCR
PRDX5,0,1,0.553716711,NotCR
EGFR,0,1,0.553662217,NotCR
PRKD1,0,1,0.553561461,NotCR
CCS,0,1,0.553184499,NotCR
PIK3CB,0,1,0.552870821,NotCR
FEZ2,0,1,0.552748154,NotCR
PPP3CB,0,1,0.552446533,NotCR
PRKAA2,1,1,0.552290088,CR
MAT1A,1,1,0.551728686,CR
RALB,0,1,0.55160803,NotCR
MGAT5,0,1,0.551155094,NotCR
WIPI2,0,1,0.55099741,NotCR
IFT88,0,1,0.550938829,NotCR
OPA1,0,1,0.55020435,NotCR
ADSS1,0,1,0.548662772,NotCR
PIK3C3,1,1,0.548350129,CR
MAGT1,0,1,0.548139991,NotCR
ATG2A,0,1,0.547898947,NotCR
SLC2A14,1,1,0.547506243,CR
ALG3,0,1,0.546718695,NotCR
ACAT1,0,1,0.545169117,NotCR
PDHA2,0,1,0.545111686,NotCR
DLD,0,1,0.544943183,NotCR
FEZ1,0,1,0.544085855,NotCR
FBP1,0,1,0.543565978,NotCR
ATG3,0,1,0.543503273,NotCR
WDR59,0,1,0.543480823,NotCR
HELLS,0,1,0.543399264,NotCR
ALG5,0,1,0.543312119,NotCR
VCP,0,1,0.54191718,NotCR
RPS6KB1,0,1,0.54180122,NotCR
ERO1B,0,1,0.540479863,NotCR
MDH2,1,1,0.540458489,CR
TALDO1,0,1,0.539752417,NotCR
ARRB1,0,1,0.539696744,NotCR
BCAT1,0,1,0.539328527,NotCR
PAWR,0,1,0.539263884,NotCR
CDK5,0,1,0.539006816,NotCR
MAPK1,0,1,0.538730274,NotCR
CHMP2B,0,1,0.538496398,NotCR
ERO1A,0,1,0.538320684,NotCR
ATG2B,0,1,0.538116212,NotCR
FBP2,0,1,0.537910185,NotCR
STX12,0,1,0.537618755,NotCR
VPS37B,0,1,0.537444116,NotCR
NPC1,0,1,0.537356303,NotCR
ARRB2,0,1,0.537307483,NotCR
GPX1,0,1,0.536845291,NotCR
ATP6V0A4,0,1,0.536808457,NotCR
SERPINE1,0,1,0.535840754,NotCR
ULK2,0,1,0.535683289,NotCR
EIF4EBP2,1,1,0.535572736,CR
ATG9A,0,1,0.535276199,NotCR
RPS6KB2,0,1,0.535230641,NotCR
ATP7A,0,1,0.535136249,NotCR
DNM1L,0,1,0.534921557,NotCR
RAB5A,1,1,0.53464852,CR
GRB2,0,1,0.534595408,NotCR
PPAT,1,1,0.534282376,CR
SMARCA5,1,1,0.533926898,CR
CAT,0,1,0.533878622,NotCR
COX4I1,0,1,0.533551109,NotCR
TCIRG1,0,1,0.533383097,NotCR
CYP2A7,0,1,0.532986605,NotCR
ZMPSTE24,0,1,0.532957883,NotCR
PFAS,0,1,0.532882434,NotCR
NDUFS4,0,1,0.532601236,NotCR
CYB5R3,0,1,0.532297651,NotCR
PDPK1,0,1,0.531707197,NotCR
ITPR2,0,1,0.531380654,NotCR
PARK7,0,1,0.531277816,NotCR
NDUFS1,0,1,0.531189979,NotCR
ARNTL,0,1,0.531187955,NotCR
RHEB,1,1,0.531075335,CR
FMO2,1,1,0.530984809,CR
COX4I2,0,1,0.530839937,NotCR
PRDX2,1,1,0.530775537,CR
ATP1A1,0,1,0.530615481,NotCR
LETM1,0,1,0.530533129,NotCR
MAN1C1,0,1,0.529964315,NotCR
PPP3CA,0,1,0.529779611,NotCR
PRDX3,1,1,0.529520565,CR
DNAJC15,0,1,0.528424334,NotCR
RACK1,0,1,0.528186338,NotCR
GSK3B,0,1,0.527813536,NotCR
ATP2A3,0,1,0.527604597,NotCR
WDR5,0,1,0.527230796,NotCR
SHC1,0,1,0.527193165,NotCR
PRDX1,1,1,0.526916093,CR
AKT3,0,1,0.526451914,NotCR
CYP2A6,0,1,0.526338883,NotCR
MTOR,1,1,0.526172351,CR
TGFB1,0,1,0.526090785,NotCR
RPIA,0,1,0.525252403,NotCR
NDUFA5,0,1,0.525239889,NotCR
TM7SF2,0,1,0.524932642,NotCR
KYNU,0,1,0.524778924,NotCR
PPP4R3B,1,1,0.524486042,CR
NDUFV1,0,1,0.524185816,NotCR
HIBADH,0,1,0.523730197,NotCR
HOOK2,0,1,0.523724492,NotCR
SLC25A33,0,1,0.523696151,NotCR
DUSP12,0,1,0.523465432,NotCR
CHEK2,0,1,0.523126702,NotCR
RAB5B,1,1,0.523113522,CR
ATP7B,0,1,0.522373504,NotCR
CYP2F1,0,1,0.521671728,NotCR
PRKN,0,1,0.521436676,NotCR
SIRT4,0,1,0.521341127,NotCR
IGF1R,1,1,0.520931455,CR
NDUFB7,0,1,0.520877418,NotCR
TERT,0,1,0.520644816,NotCR
GPT2,0,1,0.520571482,NotCR
NMT2,0,1,0.520565526,NotCR
GPD2,1,1,0.520467158,CR
SLC12A2,0,1,0.520329121,NotCR
ROCK1,0,1,0.520262059,NotCR
KL,0,1,0.519818412,NotCR
POU1F1,0,1,0.51965054,NotCR
MLXIPL,0,1,0.519331757,NotCR
ISCA1,0,1,0.519261052,NotCR
CYP2E1,0,1,0.519158122,NotCR
DCXR,0,1,0.519141204,NotCR
FBXO9,0,1,0.519015279,NotCR
HCFC2,0,1,0.518851304,NotCR
NDUFS8,0,1,0.518808402,NotCR
GHR,1,1,0.518010911,CR
TKT,0,1,0.517597605,NotCR
ALDH2,0,1,0.5175013,NotCR
PDHA1,0,1,0.517436609,NotCR
ATP2A2,0,1,0.517265901,NotCR
DLAT,1,1,0.517237202,CR
SLC20A2,0,1,0.517107344,NotCR
UQCRC1,0,1,0.516534394,NotCR
CBSL,1,1,0.516503626,CR
CYC1,1,1,0.516277995,CR
BCHE,0,1,0.516256839,NotCR
UQCRHL,0,1,0.515943999,NotCR
RPL9,0,1,0.515890029,NotCR
RPL19,0,1,0.515890029,NotCR
ATP2C2,1,1,0.515737418,CR
MAPK3,0,1,0.515714937,NotCR
SLC15A2,0,1,0.515707831,NotCR
SNF8,0,1,0.515664498,NotCR
TELO2,0,1,0.515642074,NotCR
GLUD2,1,1,0.515377539,CR
IDO2,0,1,0.515341977,NotCR
EIF4A1,0,1,0.515220618,NotCR
RPS23,0,1,0.515037585,NotCR
CYP2C9,0,1,0.51478419,NotCR
RPL30,0,1,0.514666626,NotCR
RICTOR,0,1,0.514631199,NotCR
PRKAG1,0,1,0.514617179,NotCR
QPRT,0,1,0.514486106,NotCR
STX1B,0,1,0.514305293,NotCR
RPL17,0,1,0.51422629,NotCR
COX5B,1,1,0.51417128,CR
PRKAR1B,0,1,0.514159667,NotCR
IDO1,0,1,0.514099675,NotCR
ATP6V1B1,1,1,0.513939128,CR
UQCRC2,0,1,0.513923277,NotCR
MAPK8,0,1,0.513817331,NotCR
PDIA2,0,1,0.513693283,NotCR
ATP2A1,0,1,0.513651294,NotCR
TXN,1,1,0.513507571,CR
SDHB,0,1,0.513494863,NotCR
MAN1A2,0,1,0.513437734,NotCR
AKR1E2,0,1,0.513204435,NotCR
ITPR1,0,1,0.513118818,NotCR
AKR1B1,0,1,0.512713525,NotCR
MSRA,0,1,0.512677711,NotCR
PRKAR2A,0,1,0.512558926,NotCR
SURF1,0,1,0.512146725,NotCR
SCD,0,1,0.511909589,NotCR
EZH1,0,1,0.511896338,NotCR
IDH3B,0,1,0.511883063,NotCR
PDIA4,0,1,0.511802732,NotCR
CYP2C8,0,1,0.511778843,NotCR
TSPO,0,1,0.511756362,NotCR
MARS1,0,1,0.511595434,NotCR
AMD1,0,1,0.511536428,NotCR
RPL23,0,1,0.51151066,NotCR
ROCK2,0,1,0.511259109,NotCR
ATP5F1B,0,1,0.510944693,NotCR
APP,0,1,0.510912127,NotCR
GPX2,0,1,0.510905827,NotCR
ATP5F1C,0,1,0.510904413,NotCR
AHCYL2,0,1,0.510800956,NotCR
PDP2,0,1,0.510692415,NotCR
MAN1A1,0,1,0.510620098,NotCR
SGTA,0,1,0.51017641,NotCR
SDHA,0,1,0.509991046,NotCR
INSRR,1,1,0.509908472,CR
TPT1,0,1,0.509873243,NotCR
CYP2A13,0,1,0.509841138,NotCR
CNDP2,0,1,0.509824327,NotCR
VBP1,0,1,0.509592833,NotCR
HDLBP,0,1,0.509499953,NotCR
SLC12A1,0,1,0.509446286,NotCR
PDP1,0,1,0.509436355,NotCR
LIPJ,0,1,0.509403088,NotCR
ATP5F1E,0,1,0.50939192,NotCR
UQCRH,0,1,0.509289875,NotCR
NME1,0,1,0.509076253,NotCR
ARF1,0,1,0.509066389,NotCR
ALDH1B1,0,1,0.508998986,NotCR
MAT2A,1,1,0.508882226,CR
SUCLG2,0,1,0.508877296,NotCR
MSTN,0,1,0.508845826,NotCR
SIRT3,1,1,0.508823168,CR
TOP1,0,1,0.508608516,NotCR
VPS16,0,1,0.508561658,NotCR
SLC25A28,0,1,0.508516909,NotCR
SLC25A37,0,1,0.508516909,NotCR
JAK3,0,1,0.508490134,NotCR
LRIG3,0,1,0.50842572,NotCR
VPS33A,0,1,0.508284348,NotCR
UQCRQ,0,1,0.508128501,NotCR
RAB5C,1,1,0.508060635,CR
GART,0,1,0.508018823,NotCR
HSPA9,0,1,0.507813674,NotCR
UQCRFS1,0,1,0.507783729,NotCR
MAN1B1,0,1,0.507756277,NotCR
SDHC,0,1,0.507612788,NotCR
VPS41,0,1,0.50760131,NotCR
HSPA6,0,1,0.507567134,NotCR
PRKG1,0,1,0.507369839,NotCR
SGTB,0,1,0.507319113,NotCR
TP53BP1,0,1,0.507082693,NotCR
PGLS,0,1,0.506818481,NotCR
GYS2,0,1,0.506761555,NotCR
KCNA3,1,1,0.50674952,CR
HSPA1A,0,1,0.506748113,NotCR
ALDH4A1,1,1,0.506686559,CR
SGCG,0,1,0.506563546,NotCR
MAP2K4,0,1,0.506354143,NotCR
MAPK7,1,1,0.506270243,CR
SCO1,0,1,0.506108241,NotCR
DPP4,1,1,0.506085386,CR
PHB2,0,1,0.50608469,NotCR
RPLP1,0,1,0.506052206,NotCR
PHB,0,1,0.505985505,NotCR
AP3S1,0,1,0.505890638,NotCR
PRKCQ,0,1,0.505758341,NotCR
ADARB1,0,1,0.505743701,NotCR
PNPO,0,1,0.505732,NotCR
SNX3,0,1,0.505714077,NotCR
CHD1,0,1,0.50569284,NotCR
COQ5,0,1,0.505393133,NotCR
MAIP1,0,1,0.50536549,NotCR
MTHFD1L,0,1,0.505337627,NotCR
CSHL1,0,1,0.505310492,NotCR
FMO3,1,1,0.505306924,CR
PABPC1,0,1,0.505221595,NotCR
AGTR1,0,1,0.505140546,NotCR
PARP1,0,1,0.505132156,NotCR
COQ3,0,1,0.505099402,NotCR
LHX9,0,1,0.50504692,NotCR
PRKX,0,1,0.50494395,NotCR
SLC15A1,0,1,0.504938061,NotCR
AKR1C3,0,1,0.504822667,NotCR
PLAU,0,1,0.5047173,NotCR
RAB10,1,1,0.504703663,CR
TSPAN8,0,1,0.504453384,NotCR
ITPR3,0,1,0.50442083,NotCR
SUCLA2,0,1,0.504309478,NotCR
KDM4C,0,1,0.504256006,NotCR
CANT1,0,1,0.504090669,NotCR
GPX5,0,1,0.50406893,NotCR
PYGL,0,1,0.504068693,NotCR
ALDH1A1,0,1,0.503852253,NotCR
EIF2S3,0,1,0.503828033,NotCR
AHCYL1,0,1,0.503769067,NotCR
RPS26,0,1,0.503740007,NotCR
RHEBL1,1,1,0.5037162,CR
ABCC5,0,1,0.503712852,NotCR
PM20D1,0,1,0.503608911,NotCR
ACHE,0,1,0.503596199,NotCR
CS,0,1,0.503297085,NotCR
RPS4X,0,1,0.503039923,NotCR
RRM2,0,1,0.502878055,NotCR
NAA35,0,1,0.502784542,NotCR
ERBB2,0,1,0.502748118,NotCR
PPP3CC,0,1,0.502713839,NotCR
ACSS1,0,1,0.502571494,NotCR
UTRN,0,1,0.502357461,NotCR
EEF2,0,1,0.502113778,NotCR
RGS7,0,1,0.502037192,NotCR
FADS1,0,1,0.502031791,NotCR
ATG4B,0,1,0.502011122,NotCR
ATP5PO,0,1,0.502006319,NotCR
HSPA2,0,1,0.501978155,NotCR
DPP6,1,1,0.501929132,CR
APRT,0,1,0.501758627,NotCR
TBL1X,0,1,0.50172347,NotCR
HOOK3,0,1,0.501671687,NotCR
ATP5PB,0,1,0.501576517,NotCR
NAA11,0,1,0.5015763,NotCR
CSH1,0,1,0.501355611,NotCR
E4F1,0,1,0.501178861,NotCR
GPX8,0,1,0.50102185,NotCR
SOAT1,0,1,0.501013874,NotCR
APEX1,0,1,0.500890892,NotCR
INMT,0,1,0.500886914,NotCR
AKR1C1,0,1,0.50088434,NotCR
HSPA5,0,1,0.50087021,NotCR
CYCS,0,1,0.500763794,NotCR
PRKG2,0,1,0.500689736,NotCR
AKR1B10,0,1,0.500653926,NotCR
RRM1,0,1,0.500636447,NotCR
MPC1,0,1,0.50061688,NotCR
ACLY,0,1,0.500486932,NotCR
FMO4,1,1,0.500235828,CR
ZDHHC13,0,1,0.500192995,NotCR
JAK2,0,1,0.500144974,NotCR
GPX7,0,1,0.500101673,NotCR
ATP5F1A,0,0,0.499954028,NotCR
STAM,0,0,0.499915425,NotCR
CYB5R2,0,0,0.499893769,NotCR
WDFY3,0,0,0.499786233,NotCR
FOXM1,0,0,0.499777394,NotCR
CLTC,0,0,0.499511625,NotCR
PCSK2,0,0,0.499425915,NotCR
VPS37D,0,0,0.499408672,NotCR
PRKAR2B,0,0,0.499340773,NotCR
PRKCD,0,0,0.499307733,NotCR
MLXIP,0,0,0.499112438,NotCR
MTHFD2,0,0,0.499000982,NotCR
SCD5,0,0,0.498984799,NotCR
UQCRB,0,0,0.498965911,NotCR
ALDH1A2,0,0,0.498940722,NotCR
ATP2C1,1,0,0.498734437,CR
TP53I3,0,0,0.498609542,NotCR
RFX2,0,0,0.498608847,NotCR
NADSYN1,0,0,0.498540861,NotCR
MAPK9,0,0,0.498369121,NotCR
BANF1,0,0,0.498341013,NotCR
ADA,0,0,0.498132505,NotCR
GLIPR1,0,0,0.49806195,NotCR
GNG12,0,0,0.498011175,NotCR
PDIA3,0,0,0.497970264,NotCR
EIF2B5,0,0,0.497916625,NotCR
ADSS2,0,0,0.497518346,NotCR
PYGB,0,0,0.497414766,NotCR
POLE3,0,0,0.49740418,NotCR
HOOK1,0,0,0.497403465,NotCR
OGDHL,0,0,0.497282769,NotCR
AMPD3,0,0,0.49722519,NotCR
COQ7,1,0,0.497216692,CR
TMF1,0,0,0.497142656,NotCR
CCT6A,0,0,0.497120853,NotCR
SUCLG1,0,0,0.497022941,NotCR
PYGM,0,0,0.497014099,NotCR
ZDHHC17,0,0,0.496979296,NotCR
TXNDC8,0,0,0.496806298,NotCR
PRKAB1,0,0,0.496652952,NotCR
CCT6B,0,0,0.496562579,NotCR
CISD2,0,0,0.496508472,NotCR
ACSL4,0,0,0.496484851,NotCR
LHX1,0,0,0.49642005,NotCR
CYP2C18,0,0,0.496267036,NotCR
TADA2A,0,0,0.496184415,NotCR
MVK,0,0,0.496134211,NotCR
PPM1D,0,0,0.496090777,NotCR
HSPG2,0,0,0.496086309,NotCR
GYS1,0,0,0.495969104,NotCR
ERBB3,0,0,0.495432625,NotCR
SCYL1,0,0,0.495238589,NotCR
CBX3,0,0,0.49520201,NotCR
CTF1,0,0,0.495175407,NotCR
STXBP5,0,0,0.495158365,NotCR
THNSL2,0,0,0.495103507,NotCR
SYCP1,0,0,0.494968546,NotCR
CERS1,0,0,0.494891979,NotCR
MAPK10,0,0,0.494852211,NotCR
PI15,0,0,0.494815882,NotCR
IDH3G,0,0,0.494735506,NotCR
DAGLB,0,0,0.49463975,NotCR
KRIT1,0,0,0.494496176,NotCR
FMO5,1,0,0.494460087,CR
EEF1A2,0,0,0.494323732,NotCR
XDH,0,0,0.494314719,NotCR
ALDH1A3,0,0,0.494308796,NotCR
DENND6A,0,0,0.494285807,NotCR
CNGA2,0,0,0.494196207,NotCR
NCOR2,0,0,0.494071204,NotCR
VPS36,0,0,0.494022973,NotCR
ITGB1,0,0,0.493916855,NotCR
HAT1,0,0,0.493898386,NotCR
TBL1XR1,0,0,0.493870684,NotCR
SQSTM1,0,0,0.493829008,NotCR
DGKZ,0,0,0.493803327,NotCR
NPR1,0,0,0.493752322,NotCR
SLC13A1,0,0,0.493737011,NotCR
NNMT,0,0,0.493724637,NotCR
STX4,0,0,0.493692659,NotCR
EFEMP1,0,0,0.493607303,NotCR
AK2,0,0,0.493426399,NotCR
TCP1,0,0,0.493294296,NotCR
AP3M2,0,0,0.493195996,NotCR
PLS1,0,0,0.493105549,NotCR
CHMP6,1,0,0.492804694,CR
SLC25A3,0,0,0.492605732,NotCR
PGAM5,0,0,0.492597247,NotCR
CADPS,0,0,0.492552802,NotCR
EEF1A1,0,0,0.492542461,NotCR
PEMT,0,0,0.492508062,NotCR
ATG4A,0,0,0.492483032,NotCR
IDH3A,0,0,0.492407294,NotCR
PCBP2,0,0,0.492405617,NotCR
NAPB,0,0,0.492363217,NotCR
HNRNPAB,0,0,0.492316168,NotCR
RPS15A,0,0,0.492277243,NotCR
BRD3,0,0,0.492224706,NotCR
FIS1,0,0,0.492216036,NotCR
GDF15,0,0,0.492180762,NotCR
ABCC12,0,0,0.491981754,NotCR
PCBP1,0,0,0.491867592,NotCR
ERBB4,0,0,0.491717302,NotCR
CCNL2,0,0,0.491714904,NotCR
TOMM22,0,0,0.491682083,NotCR
POLR1B,0,0,0.491658069,NotCR
TBCE,0,0,0.491635514,NotCR
IDNK,0,0,0.491553954,NotCR
ARHGAP1,0,0,0.491386023,NotCR
CYP4X1,1,0,0.491261301,CR
SVOP,0,0,0.49123619,NotCR
FABP7,0,0,0.491221298,NotCR
TOMM70,0,0,0.491181151,NotCR
RCAN2,0,0,0.491102782,NotCR
SH3RF1,0,0,0.491096283,NotCR
SPTLC1,0,0,0.491092023,NotCR
STAM2,0,0,0.491036604,NotCR
DGKI,0,0,0.491023385,NotCR
ABCC10,0,0,0.490940061,NotCR
ZDHHC2,0,0,0.490819146,NotCR
SH3RF3,0,0,0.490763337,NotCR
VPS25,0,0,0.490668465,NotCR
APLP2,0,0,0.490668061,NotCR
PTPA,0,0,0.490624172,NotCR
LRRN2,0,0,0.49062323,NotCR
RPS11,0,0,0.490543655,NotCR
RPL34,0,0,0.490543655,NotCR
WWP1,1,0,0.490525523,CR
SIGLEC8,0,0,0.490485684,NotCR
LBR,0,0,0.490452411,NotCR
ZFAND2A,0,0,0.490360686,NotCR
ACSS2,0,0,0.490248009,NotCR
AP3M1,0,0,0.490226041,NotCR
JUND,0,0,0.490224353,NotCR
WDR5B,0,0,0.490187275,NotCR
HHAT,0,0,0.490180203,NotCR
ATG4D,0,0,0.490132839,NotCR
MIF,0,0,0.490079138,NotCR
ATIC,0,0,0.490062995,NotCR
RPS4Y1,0,0,0.490060812,NotCR
SGCD,0,0,0.489997263,NotCR
EIF1B,0,0,0.489956534,NotCR
HCCS,0,0,0.489949457,NotCR
PRMT8,0,0,0.489934031,NotCR
BRDT,0,0,0.489913699,NotCR
PPFIBP1,0,0,0.489909856,NotCR
SLC20A1,0,0,0.489904591,NotCR
ACTR1B,0,0,0.48982987,NotCR
HNRNPDL,0,0,0.489767819,NotCR
JAK1,0,0,0.489716316,NotCR
RCAN3,0,0,0.489664412,NotCR
SIGLEC9,0,0,0.489655241,NotCR
PABPC3,0,0,0.489637115,NotCR
GNG7,0,0,0.489610951,NotCR
FH,0,0,0.48952397,NotCR
MRPL2,0,0,0.489518827,NotCR
RPS18,0,0,0.489457777,NotCR
CBX5,0,0,0.489430166,NotCR
PRKACA,0,0,0.489349077,NotCR
RPS3A,0,0,0.489347593,NotCR
AGMO,0,0,0.489297859,NotCR
DYNLL2,0,0,0.489288986,NotCR
MAP2K2,0,0,0.489261402,NotCR
TRAM1,0,0,0.489155948,NotCR
MSN,0,0,0.489116974,NotCR
DHRS3,0,0,0.489084499,NotCR
RABGGTA,0,0,0.489052483,NotCR
PRPS2,0,0,0.48902669,NotCR
IDH2,0,0,0.488856755,NotCR
AIFM1,0,0,0.488829658,NotCR
SNX25,0,0,0.488727665,NotCR
UBE2M,0,0,0.488699381,NotCR
RPS12,0,0,0.48869806,NotCR
RPS20,0,0,0.48869806,NotCR
CLOCK,0,0,0.488665779,NotCR
SYNJ1,0,0,0.488656776,NotCR
STXBP5L,0,0,0.488546423,NotCR
EIF2B4,0,0,0.488497673,NotCR
RPL21,0,0,0.488488749,NotCR
COQ2,0,0,0.488462371,NotCR
DEGS2,0,0,0.488414649,NotCR
ZDHHC20,0,0,0.488398965,NotCR
RPL37A,0,0,0.488367306,NotCR
RGS6,0,0,0.488162256,NotCR
PNMT,0,0,0.488118261,NotCR
CALU,0,0,0.488025564,NotCR
SIGLEC7,0,0,0.487941825,NotCR
EIF5B,0,0,0.487922601,NotCR
CHD2,0,0,0.487779268,NotCR
PRPS1,0,0,0.487748704,NotCR
TVP23A,0,0,0.487679165,NotCR
MNX1,0,0,0.487675492,NotCR
IMPA2,0,0,0.487645279,NotCR
RGS12,0,0,0.487576535,NotCR
CD9,0,0,0.487553775,NotCR
PCMT1,0,0,0.48744742,NotCR
DCUN1D2,0,0,0.487446799,NotCR
DCUN1D5,0,0,0.487446799,NotCR
SMC4,0,0,0.48732097,NotCR
BZW2,0,0,0.487313525,NotCR
PAPPA,0,0,0.487272778,NotCR
CRYAA,0,0,0.487226932,NotCR
SIGLEC12,0,0,0.487180961,NotCR
FGF23,0,0,0.487161999,NotCR
VEPH1,0,0,0.487111709,NotCR
BIN3,0,0,0.487111349,NotCR
PRKAB2,0,0,0.487100942,NotCR
ACE2,0,0,0.48709472,NotCR
DCUN1D1,0,0,0.487000685,NotCR
LIPN,0,0,0.486988811,NotCR
NRXN2,0,0,0.486984162,NotCR
NRXN1,0,0,0.486984039,NotCR
SUPT4H1,0,0,0.486979444,NotCR
PLCB4,0,0,0.486825364,NotCR
SLC6A4,0,0,0.48673342,NotCR
TPP2,0,0,0.486600502,NotCR
MRPL24,0,0,0.486587427,NotCR
RPS4Y2,0,0,0.486569858,NotCR
RPL17-C18orf32,0,0,0.48654088,NotCR
DYNC2H1,0,0,0.486454815,NotCR
USP5,0,0,0.486434914,NotCR
LIPA,0,0,0.486367672,NotCR
MRPS33,0,0,0.486352945,NotCR
NAALAD2,0,0,0.486345435,NotCR
TADA2B,0,0,0.486297639,NotCR
ARL8A,0,0,0.486226349,NotCR
TUFM,0,0,0.486225503,NotCR
TOP3B,0,0,0.486193461,NotCR
ARHGDIB,0,0,0.486167883,NotCR
EIF3F,0,0,0.486115416,NotCR
RCN1,0,0,0.4860991,NotCR
SLC16A7,0,0,0.486050321,NotCR
TES,0,0,0.486034788,NotCR
EIF3A,0,0,0.485976293,NotCR
POLR3A,0,0,0.485961855,NotCR
PCBP3,0,0,0.485956102,NotCR
BRD2,0,0,0.485904067,NotCR
SMARCA1,1,0,0.485902043,CR
AKR1B15,0,0,0.48584589,NotCR
USP22,0,0,0.485814325,NotCR
TVP23B,0,0,0.485804842,NotCR
ATAD3C,0,0,0.485802022,NotCR
DCAF11,0,0,0.485776867,NotCR
YPEL5,0,0,0.485659038,NotCR
EIF3B,0,0,0.485620205,NotCR
NFU1,1,0,0.485539121,CR
SOAT2,0,0,0.485499402,NotCR
PEX16,0,0,0.485490739,NotCR
LIPK,0,0,0.485411153,NotCR
SLC2A13,1,0,0.485395547,CR
